,title,composer,level
1711,Mustang Triumph,Sarah Siegler,collegiate
1712,"New Chances, New Dances",Richard Meyer,collegiate
1713,Oliverian Fantasy,Brian Balmages,collegiate
1714,Orchid,Yukiko Nishimura,collegiate
1715,Parkland,Susan H. Day,collegiate
1716,Pastorale,Arcangelo Corelli/arr. Brandon Bangle,collegiate
1717,Percussive Thoughts for Strings,Donald Coakley,collegiate
1718,Rhapsody in Blue,George Gershwin/arr. Michael Hopkins,collegiate
1719,Rhythmic Variations on Two Ancient Hymns,Howard Hanson,collegiate
1720,The Ring of Brodgar,Mark Barnard,collegiate
1721,Samba for a Sunday Afternoon,Thom Sharp,collegiate
1722,Scherzo,Roger Zare,collegiate
1723,Sea Shanty Saga,arr. Tyler Arcari,collegiate
1724,Sea Squall,Eric B. Davis,collegiate
1725,"Serenade for Strings, Op. 11",Dag Ivar Wiren,collegiate
1726,String of Dolphins,Yukiko Nishimura,collegiate
1727,Such Small Things,Nathan Daughtrey,collegiate
1728,Suite for Strings,John Rutter,collegiate
1729,Symphony No. 2 (Finale),Emilie Mayer/arr. Lauren Taylor,collegiate
1730,"Symphony in E Minor, Op. 32 ""Gaelic""",Amy Beach,collegiate
1731,Tectonic Shift,Sam Gelfer,collegiate
1732,The Fire Within,Brian Balmages,collegiate
1733,Themes from Rhapsody in Blue,George Gershwin/arr. Carrie Lane Gruselle,collegiate
1734,Turtlewood Stomp,Matthew Gelfer,collegiate
1735,Twilight at Dunguaire,John Mock,collegiate
1736,Typhon,Leonard Ingrande,collegiate
1737,Visions of the Sky,Adrian B. Sims,collegiate
1738,"Voyagers We, Undaunted",Richard Meyer,collegiate
1739,Welcome the Light!,Deborah Baker Monday,collegiate
